"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"14","IFN-ALPHA%IOB%IFN-ALPHA","0.179102067183463","0.66238615951503","-0.440642043397424","-1.2360896741038","1108","32","c(""Prkcq"", ""LOC100911372"", ""Arhgap30"", ""Eif4ebp1"", ""Erbb3"")"
"15","NGF%IOB%NGF","0.891517323775388","1","0.263342908259996","0.670404677789025","3730","15","c(""Creb1"", ""Mapk1"", ""Map2k1"", ""Bad"", ""Plcg1"", ""Prkci"", ""Shc1"", ""Elk1"")"
"16","EGFR1%IOB%EGFR1","0.725518398657557","1","-0.233208983623526","-0.910731994917677","6052","357","c(""Krt18"", ""Pik3cg"", ""Dsp"", ""Slitrk6"", ""Gprc5a"", ""Lck"", ""Limd1"", ""Arhgef5"", ""Spry1"", ""Plce1"", ""Ptpn6"", ""Ephb1"", ""Col17a1"", ""Anxa2"", ""Spry4"", ""LOC689959"", ""Cdk1"", ""Dapp1"", ""Fos"", ""Arap1"", ""Gsn"", ""Gab1"", ""Epha2"", ""Eif4ebp1"", ""Erbb3"", ""Ubash3b"", ""Adam17"", ""Lsr"", ""Dok1"", ""Grb14"", ""Lyn"", ""Anks1a"", ""Caskin2"", ""Sdc4"", ""Pttg1ip"", ""Pard3"", ""Ptpn18"", ""Myo6"", ""Siah2"", ""Map3k14"", ""Prkd1"", ""Dock1"", ""Pik3c2b"", ""Nos3"", ""Rps2"", ""Baiap2l1"", ""Snx33"", ""Pld1"", ""Ripk1"", ""Pld2"", ""Appl2"", ""Vav2"", ""Cysrt1"", ""Jund"", ""Hip1"", 
""Gja1"", ""Csk"", ""Mpzl1"", ""Rpl30"", ""Stat5b"", ""Tns2"", ""Bcl2"", ""Arhgef4"", ""Dok2"", ""Ctnnal1"", ""Cav2"", ""Laptm4a"", ""Mvp"", ""Fyn"", ""Afap1l2"", ""Axl"", ""Itgb1"", ""Vav3"", ""Bcar3"", ""Cdk2"", ""Plscr1"", ""Erbb2"", ""Tln1"", ""Magi1"", ""Pak1"")"
"17","NOTCH%IOB%NOTCH","0.929489009420497","1","0.215633422010635","0.739154928250872","3255","57","c(""Nov"", ""Hdac1l"", ""Smad3"", ""Tle1"", ""Notch3"", ""Sin3a"", ""Jag1"", ""Cntn1"", ""Mapk1"", ""App"", ""Furin"", ""Gsk3b"", ""Ncor2"", ""Numbl"", ""Wdr12"", ""Psen1"", ""Pofut1"", ""Hey2"", ""Snw1"", ""Hes1"", ""Ascl1"", ""Hivep3"", ""Bloc1s1"")"
"18","M-CSF%IOB%M-CSF","0.491641930948289","0.965085529553889","-0.321160876731486","-0.978724664641056","3146","49","c(""Casp8"", ""LOC100911372"", ""Ptpn6"", ""Csf1r"", ""Inpp5d"", ""Eif4ebp1"", ""Lyn"")"
"19","TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR","0.985540334855403","1","0.186672519125653","0.752466265072986","2589","152","c(""Map3k7"", ""Dynlrb2"", ""LOC100912481"", ""Vdr"", ""Cdk6"", ""Hdac1l"", ""Map4k1"", ""Esr1"", ""Smad3"", ""Fzr1"", ""Prkcb"", ""Zeb2"", ""Tgfb3"", ""Ar"", ""Ncoa1"", ""Junb"", ""Camk2a"", ""Pml"", ""Cdc27"", ""Tp73"", ""Mapk1"", ""Dab2"", ""Fkbp1a"", ""Trap1"", ""Dcp1a"", ""Acvrl1"", ""Atf2"", ""Pdk1"", ""Dync1i1"", ""Snx2"", ""Pias1"", ""Sptbn1"", ""Mapk8"", ""Wwtr1"", ""Foxg1"", ""Pxn"", ""Tfdp2"", ""Prkcd"", ""Camk2d"", ""Prkar1b"")"
"20","TIE1 TEK%IOB%TIE1 TEK","0.74096285190738","1","-0.310038841716918","-0.807198601350929","4447","22","c(""Bmx"", ""Fes"", ""Nos3"", ""Tie1"", ""Stat5b"", ""Dok2"", ""Pak1"")"
"21","FLK2 FLT3%IOB%FLK2 FLT3","0.910496135627026","1","0.24313111014716","0.673471989466785","3651","21","c(""Creb1"", ""Cblb"", ""Flt3"", ""Cbl"", ""Mapk1"", ""Cebpa"", ""Atf2"", ""Bad"", ""Jun"")"
"22","FAS%IOB%FAS","0.676262114856068","1","-0.263118532217295","-0.894496077190079","4674","97","c(""Casp8"", ""Lck"", ""Fas"", ""Uba7"", ""Bmx"", ""Ptpn6"", ""Arhgdib"", ""Gsn"", ""Faslg"", ""Lyn"")"
"23","EPO%IOB%EPO","0.689491203043271","1","-0.290952099178342","-0.861513459535276","4349","42","c(""Sh2b2"", ""Inpp5d"", ""Gab1"", ""Hcls1"", ""Lyn"", ""Nos3"")"
"24","CCR1%IOB%CCR1","0.0938775510204082","0.508452361294584","0.542576493399415","1.40455301666362","390","16","c(""Jak1"", ""Mapk1"", ""Ptk2b"", ""Mapk8"", ""Mapk9"", ""Pxn"", ""Prkcd"", ""Gna14"")"
"25","BDNF%IOB%BDNF","0.958098307816277","1","0.211737034160353","0.657900493039196","3566","36","c(""Irs1"", ""Acacb"", ""Creb1"", ""Prkaa2"", ""Mapk1"", ""Syn1"", ""Ptk2b"", ""Gsk3b"", ""Mapk8"", ""Mtor"", ""Mapk9"", ""Bad"", ""Plcg1"", ""Grin1"", ""Kidins220"")"
"26","ID%IOB%ID","0.249441292762592","0.747410247251096","-0.498351090816844","-1.19047059599671","1450","15","c(""Rbl1"", ""Id1"", ""Id4"", ""Id3"", ""Elk3"", ""Cdk2"", ""Srebf1"")"
"27","G-CSF%IOB%G-CSF","0.455168020385412","0.942430423564075","-0.34852967630336","-1.00264017228891","2857","36","c(""Lck"", ""Cish"", ""Csf3r"", ""Inpp5d"", ""Lyn"", ""Hck"", ""Nos3"", ""Stat5b"", ""Cdk2"", ""Il3ra"", ""Ptpn11"", ""Vav1"", ""Cdkn1b"", ""Notch1"", ""Sod1"")"
"28","CXCR4%IOB%CXCR4","0.064563897527025","0.432222511930058","-0.399963003239374","-1.33119111269235","435","83","c(""Itga4"", ""Lck"", ""Itk"", ""Esr2"", ""LOC100911372"", ""Pim1"", ""Itgb2"", ""Ptpn6"", ""Lcp2"", ""Inpp5d"", ""Dok1"", ""Lyn"", ""Ptprc"", ""Sdc4"", ""Vav2"", ""Gna13"", ""Cxcr4"", ""Cxcl12"", ""Stat5b"")"
"29","CCR7%IOB%CCR7","0.513051963893633","0.981079456029638","0.358779997885612","0.955929655617883","2102","18","c(""Mapk10"", ""Map2k4"", ""Mapk1"", ""Ptk2b"", ""Gsk3b"", ""Mapk8"", ""Mtor"", ""Mapk9"", ""Plcg1"")"
"30","GDNF%IOB%GDNF","0.918075004023821","1","-0.244863849765258","-0.69147819712462","5703","33","c(""Ret"", ""Cdk1"", ""Gab1"", ""Dok1"", ""Dok4"")"
"31","WNT%IOB%WNT","0.721876942200124","1","0.238548551510966","0.881242613936674","2322","87","c(""Wnt11"", ""Map3k7"", ""Rspo2"", ""Fzd1"", ""Wnt9a"", ""Cdk6"", ""Sfrp2"", ""Fzd6"", ""Map3k1"", ""Ror1"", ""Rspo1"", ""Prkca"", ""Chrna7"", ""Map2k4"", ""Prkcb"")"
"32","CD40%IOB%CD40","0.502495840266223","0.973335443583403","-0.368985030560448","-0.969518174382079","3019","23","c(""Lck"", ""Birc3"", ""Lyn"")"
"33","GM-CSF%IOB%GM-CSF","0.243755642491724","0.740349909208417","-0.348958617828447","-1.1344739153574","1619","71","c(""Casp8"", ""Sh2b2"", ""Csf2rb"", ""Ptpn6"", ""Fes"", ""Gab1"", ""Lyn"", ""Ptprc"", ""Slc2a1"", ""Hck"")"
"34","IFN-GAMMA%IOB%IFN-GAMMA","0.474046779878244","0.951698512805216","-0.347264051670961","-0.991379050327762","2958","35","c(""Prkcq"", ""Irf8"", ""LOC100911372"")"
"35","ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR","0.999714367323622","1","-0.166691849240326","-0.574928346226632","6999","108","c(""Casp8"", ""Brca1"", ""Gsn"", ""Pak6"", ""Ccne1"", ""Runx2"", ""Prkd1"", ""Casp1"", ""Pou2f1"", ""Prdx1"", ""Nrip1"", ""Nr2c1"", ""Uxt"")"
"36","TNFALPHA%IOB%TNFALPHA","1","1","0.149015526977612","0.60993965690238","2530","169","c(""Smarcb1"", ""Map3k7"", ""Ripk3"", ""Nr2c2"", ""Hdac1l"", ""Ikbke"", ""Hspb1"", ""Map3k1"", ""Brinp1"", ""Creb1"", ""Kpna6"", ""Tradd"", ""Pml"", ""Fkbp5"", ""Usp2"", ""Nfkbie"", ""Mapk1"", ""Map3k2"", ""Tank"", ""Casp2"", ""Kpna2"", ""Bax"", ""Ywhah"", ""Glb1"", ""Kpna3"", ""Mylk"", ""Mapk8"", ""Mapk9"", ""Nkiras1"", ""Map2k1"", ""Prkcd"")"
"37","HEDGEHOG%IOB%HEDGEHOG","0.997397866250325","1","0.155125228966793","0.460591877960193","3832","29","c(""Kif7"", ""Dhh"", ""Sin3a"", ""Boc"", ""Med1"")"
"38","KITRECEPTOR%IOB%KITRECEPTOR","0.881391200951249","1","-0.23271101999866","-0.772696785714272","5929","81","c(""Sh2b2"", ""LOC100911372"", ""Csf2rb"", ""Nfatc2"", ""Ptpn6"", ""Fes"", ""Inpp5d"", ""Eif4ebp1"", ""Dok1"", ""Lyn"")"
"39","HALLMARK_G2M_CHECKPOINT%MSIGDB_C2%HALLMARK_G2M_CHECKPOINT","0.0202061296446976","0.237724054265533","-0.382774394914043","-1.37794786552202","148","152","c(""Cks2"", ""Cdkn2c"", ""Meis2"", ""Mcm3"", ""Cdc20"", ""Meis1"", ""Hist1h2bk"", ""Rbl1"", ""Cenpf"", ""Kif23"", ""Kif22"", ""Ccna2"", ""Atf5"", ""Kif2c"", ""Ube2c"", ""Ttk"", ""Tacc3"", ""Kif4a"", ""Cdk1"", ""Prim2"", ""Kif15"", ""H2afz"", ""LOC100911837"", ""Slc12a2"", ""Slc7a5"", ""Fbxo5"", ""Cdc6"", ""Aurka"", ""Nusap1"", ""Hmga1"", ""Ss18"", ""Foxn3"", ""Ezh2"", ""Gins2"", ""Lmnb1"", ""Tmpo"", ""Cdk4"", ""Ccnd1"", ""Snrpd1"", ""Katna1"", ""Prmt5"", ""Mcm5"")"
"40","PID_E2F_PATHWAY%MSIGDB_C2%PID_E2F_PATHWAY","0.0663448061049681","0.441107903154313","-0.445475382152883","-1.36698914231906","425","51","c(""Plau"", ""Cdkn2c"", ""Mcm3"", ""Brca1"", ""Rbl1"", ""Ccna2"", ""Cdk1"", ""Ccne1"", ""Cdc6"", ""Cdkn1a"", ""Uxt"", ""E2f6"", ""Cbx5"", ""Prmt5"", ""Cdk2"", ""Hbp1"", ""Hdac1"", ""E2f5"")"
"41","ST_GAQ_PATHWAY%MSIGDB_C2%ST_GAQ_PATHWAY","0.870467616904226","1","0.25707312154045","0.719785299457755","3480","22","c(""Tonsl"", ""Akt3"", ""Nfkbie"", ""Itpka"", ""Pik3cb"", ""Pdk1"", ""Itpr3"")"
"42","PID_MTOR_4PATHWAY%MSIGDB_C2%PID_MTOR_4PATHWAY","0.999144324015973","1","0.159214852322974","0.552936917805584","3502","61","c(""Prkca"", ""Irs1"", ""Rraga"", ""Tsc1"", ""RragB"", ""Pdpk1"", ""Pml"", ""Rictor"", ""Mapk1"", ""Ywhah"", ""Mtor"", ""Pxn"", ""Map2k1"")"
"43","PID_IL8_CXCR2_PATHWAY%MSIGDB_C2%PID_IL8_CXCR2_PATHWAY","0.440346009466297","0.929480364986007","-0.373309943215006","-1.01794147708256","2697","27","c(""Pik3cg"", ""Pik3r6"", ""Lyn"", ""Plcb3"", ""Hck"", ""Pld2"", ""Gnai2"", ""Plcb2"")"
"44","PID_GMCSF_PATHWAY%MSIGDB_C2%PID_GMCSF_PATHWAY","0.0119125326370757","0.181059601202736","-0.588130408120965","-1.61475815279584","72","28","c(""Cish"", ""Irf8"", ""Csf2rb"", ""Pim1"", ""Inpp5d"", ""Fos"", ""Lyn"")"
"45","PID_NEPHRIN_NEPH1_PATHWAY%MSIGDB_C2%PID_NEPHRIN_NEPH1_PATHWAY","0.40258064516129","0.904229853461138","0.351802487941102","1.02856605624084","1559","27","c(""Mapk10"", ""Map2k4"", ""Nphs1"", ""Pik3cb"", ""Cd2ap"", ""Mapk8"", ""Mapk9"", ""Nck2"", ""Bad"", ""Plcg1"", ""Prkci"", ""Jun"")"
"46","HALLMARK_PEROXISOME%MSIGDB_C2%HALLMARK_PEROXISOME","0.916678934196967","1","-0.224274542906288","-0.749840929037741","6226","86","c(""Esr2"", ""Slc27a2"", ""Sema3c"", ""Eci3"", ""Tspo"", ""Rdh11"", ""Fads1"", ""Sts"", ""Prdx1"", ""Hsd17b4"", ""Scp2"", ""Gstk1"", ""Idh2"", ""Pex13"", ""Mvp"", ""Fis1"", ""Cln8"", ""Ech1"", ""Dhrs3"", ""Slc35b2"", ""Mlycd"", ""Aldh9a1"", ""Pabpc1"", ""Hmgcl"", ""Sod1"", ""Rxrg"", ""Idh1"", ""Retsat"", ""Msh2"")"
"47","PID_ERA_GENOMIC_PATHWAY%MSIGDB_C2%PID_ERA_GENOMIC_PATHWAY","0.872678627636135","1","-0.24740092845075","-0.74765244498814","5544","47","c(""Brca1"", ""Esr2"", ""C3"", ""Dscam"", ""Col18a1"", ""Pcna"", ""Nrip1"", ""Cd82"", ""Ccnd1"", ""Calcoco1"", ""Pgr"", ""Hdac1"")"
"48","PID_ARF_3PATHWAY%MSIGDB_C2%PID_ARF_3PATHWAY","0.0791502484152818","0.475451569438206","-0.587770093815081","-1.42146711003104","461","16","Cd4"
"49","PID_ECADHERIN_NASCENT_AJ_PATHWAY%MSIGDB_C2%PID_ECADHERIN_NASCENT_AJ_PATHWAY","0.997137652875358","1","0.158753332486987","0.471364303728268","3831","29","c(""Nckap1"", ""Iqgap1"", ""Abi1"", ""Csnk2a2"", ""Enah"", ""Rap1b"", ""Pip5k1c"", ""Arf6"", ""Klhl20"", ""Ctnnd1"", ""Crk"", ""Csnk2a1"", ""Ap1m1"", ""Dlg1"", ""Csnk2b"", ""Rac1"", ""Cttn"", ""Tjp1"", ""Akt1"", ""Pik3r1"", ""Src"", ""Nme1"", ""Jup"", ""Rap1a"", ""Rhoa"", ""Tiam1"", ""Ccnd1"", ""Ctnna1"", ""Vav2"")"
"50","BIOCARTA_MYOSIN_PATHWAY%MSIGDB_C2%BIOCARTA_MYOSIN_PATHWAY","0.779001836087465","1","-0.30176821394717","-0.778492733628369","4666","21","c(""Arhgef5"", ""Arhgef19"", ""Gna12"", ""Gna13"", ""Arhgef4"", ""Arhgef3"")"
"51","HALLMARK_CHOLESTEROL_HOMEOSTASIS%MSIGDB_C2%HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.144447616328861","0.607775699806678","0.357303370786517","1.22477557020116","505","57","c(""LOC100361457"", ""Jag1"", ""Hsd17b7"")"
"52","BIOCARTA_MPR_PATHWAY%MSIGDB_C2%BIOCARTA_MPR_PATHWAY","0.660863852849401","1","-0.320179173770814","-0.864150753020211","4023","26","c(""Paqr5"", ""Cdk1"", ""Arpc1b"")"
"53","BIOCARTA_AT1R_PATHWAY%MSIGDB_C2%BIOCARTA_AT1R_PATHWAY","0.368258064516129","0.875341165036008","0.360823005377461","1.05493937184491","1426","27","c(""Map3k1"", ""Prkca"", ""Map2k4"", ""Prkcb"", ""Mapk1"", ""Ptk2b"", ""Atf2"", ""Mef2d"", ""Mapk8"", ""Map2k1"")"
"54","BIOCARTA_CHEMICAL_PATHWAY%MSIGDB_C2%BIOCARTA_CHEMICAL_PATHWAY","0.766009252495739","1","0.290303560247463","0.78683197171718","3145","19","c(""Prkca"", ""Prkcb"", ""Bax"", ""Pxn"", ""Bad"")"
"55","BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY","0.178010471204188","0.658774241435481","0.452537878493613","1.25352771660403","713","21","c(""Pik3c2g"", ""Prkca"", ""Prkcb"", ""Mapk1"", ""Ptk2b"", ""Pxn"", ""Map2k1"", ""Plcg1"", ""Bcar1"")"
"56","HALLMARK_KRAS_SIGNALING_DN%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_DN","0.263225806451613","0.76233564720294","-0.324142892451098","-1.11154718524446","1835","103","c(""Ptgfr"", ""Krt1"", ""Tgfb2"", ""Cyp39a1"", ""Mefv"", ""Klk8"", ""Lypd3"", ""Nr4a2"", ""Nos1"", ""P2ry4"", ""Scn10a"", ""Mx2"", ""Sox10"", ""Wnt16"", ""H2afy2"", ""Grid2"", ""Msh5"", ""Tfap2b"", ""Gamt"", ""Zbtb16"", ""Tcf7l1"", ""Slc29a3"", ""Gpr3"", ""Slc38a3"", ""Lgals7"")"
"57","BIOCARTA_TCR_PATHWAY%MSIGDB_C2%BIOCARTA_TCR_PATHWAY","0.298301826337712","0.799959226530899","-0.390628724943457","-1.1151777228359","1861","35","c(""Cd247"", ""Pik3cg"", ""Lck"", ""Nfatc2"", ""Fos"", ""Ptpn7"")"
"58","BIOCARTA_G2_PATHWAY%MSIGDB_C2%BIOCARTA_G2_PATHWAY","0.666666666666667","1","-0.341621842975975","-0.860866816507","3929","19","c(""Brca1"", ""Cdk1"")"
"59","BIOCARTA_NO1_PATHWAY%MSIGDB_C2%BIOCARTA_NO1_PATHWAY","0.504658648145011","0.975096776929965","-0.390680907519331","-0.972557968951226","2978","18","c(""Bdkrb2"", ""Nos3"", ""Pde3b"", ""Flt4"", ""Vegfa"", ""LOC103692716"", ""Flt1"", ""Prkacb"", ""Prkg2"")"
"60","PID_ECADHERIN_KERATINOCYTE_PATHWAY%MSIGDB_C2%PID_ECADHERIN_KERATINOCYTE_PATHWAY","0.997772828507795","1","-0.175334559523054","-0.42403026665765","5823","16","c(""Akt2"", ""Ctnna1"", ""Fyn"", ""Rhoa"", ""Ajuba"", ""Jup"")"
"61","ST_GA13_PATHWAY%MSIGDB_C2%ST_GA13_PATHWAY","0.62838370565046","1","0.299083314889828","0.894774712912534","2390","30","c(""Map3k1"", ""Tbxa2r"", ""Tonsl"", ""Map2k4"", ""Akt3"", ""Rock2"", ""Nfkbie"", ""Pik3cb"", ""Pdk1"", ""Mapk8"")"
"62","PID_RAC1_PATHWAY%MSIGDB_C2%PID_RAC1_PATHWAY","0.936529555979297","1","0.217419128298954","0.708055760068619","3437","44","c(""Map3k1"", ""Wasf1"", ""Iqgap3"", ""Map2k4"", ""Nckap1"", ""Abi2"", ""Iqgap1"", ""Actr2"", ""Atf2"", ""Mapk8"", ""Mapk9"", ""Arhgap5"", ""Abi1"", ""Bcar1"", ""Jun"", ""Actr3"")"
"63","PID_TRAIL_PATHWAY%MSIGDB_C2%PID_TRAIL_PATHWAY","0.53479792050981","0.990538308355646","-0.37052550582929","-0.947275638134677","3188","20","c(""Casp8"", ""Tnfsf10"")"
"64","PID_P53_REGULATION_PATHWAY%MSIGDB_C2%PID_P53_REGULATION_PATHWAY","1","1","-0.131542878617892","-0.400871554068074","6400","49","c(""Ccna2"", ""Rassf1"", ""Dyrk2"", ""Csnk1g2"", ""Prmt5"", ""Cdk2"")"
"65","PID_ALPHA_SYNUCLEIN_PATHWAY%MSIGDB_C2%PID_ALPHA_SYNUCLEIN_PATHWAY","0.387954953484576","0.89322118763472","-0.38768970705701","-1.05715221419651","2376","27","c(""Lck"", ""Klk6"", ""Sncaip"", ""Maob"", ""Lyn"", ""Hck"", ""Pld1"", ""Pld2"")"
"66","PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY","0.392983535928604","0.895425365829983","-0.33228475851199","-1.04122092078667","2553","57","c(""Cd4"", ""Ada"", ""Pim1"", ""Birc3"", ""Csf1r"", ""Adora2b"", ""H2afz"", ""Prtn3"", ""Car1"", ""Cdkn1a"", ""Lef1"", ""Bcl2"", ""Ccnd1"", ""Tab2"", ""Maf"", ""Spi1"", ""Mad1l1"", ""Wnt1"", ""Ets1"")"
"67","PID_AR_PATHWAY%MSIGDB_C2%PID_AR_PATHWAY","0.968552465233881","1","-0.212648691236432","-0.639445322123791","6128","46","c(""Casp8"", ""Brca1"", ""Gsn"", ""Ctdsp1"", ""Prdx1"", ""Nrip1"", ""Hip1"", ""Ccnd1"", ""Vav3"", ""Xrcc6"", ""Pias4"", ""Pa2g4"", ""Ube2i"")"
"68","BIOCARTA_HDAC_PATHWAY%MSIGDB_C2%BIOCARTA_HDAC_PATHWAY","0.408201463331632","0.910378206208935","-0.42628374182952","-1.04596235198641","2398","17","c(""Pik3cg"", ""Nfatc2"", ""Camk1"")"
"69","SIG_CD40PATHWAYMAP%MSIGDB_C2%SIG_CD40PATHWAYMAP","0.869372885766328","1","0.247484236807583","0.73482070038492","3340","29","c(""Mapk10"", ""Tonsl"", ""Map2k4"", ""Nfkbie"", ""Mapk1"", ""Mapk8ip3"", ""Mapk8"", ""Mapk9"", ""Mapk8ip2"")"
"70","PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY","0.46959173301711","0.949572913049584","-0.401130950297376","-0.998572222998605","2771","18","c(""Nfatc2"", ""Rcan2"", ""Fos"", ""Faslg"", ""Pou2f1"", ""Nfatc3"")"
"71","PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY","0.608780806267341","1","-0.329875663752465","-0.899504892695491","3729","27","c(""Ptpn6"", ""Inpp5d"", ""Gab1"", ""Lyn"", ""Vav2"", ""Stat5b"", ""Bcl2"")"
"72","PID_TGFBR_PATHWAY%MSIGDB_C2%PID_TGFBR_PATHWAY","0.990738218469082","1","0.185836891243136","0.605203793738975","3636","44","c(""Map3k7"", ""Smad3"", ""Tgfb3"", ""Pdpk1"", ""Camk2a"", ""Pml"", ""Dab2"", ""Fkbp1a"", ""Sptbn1"", ""Eif2a"", ""Tgfbrap1"", ""Skil"", ""Dact2"", ""Ppp2ca"", ""Xiap"", ""Rps6kb1"", ""Strap"", ""Zfyve9"", ""Shc1"", ""Pard6a"")"
"73","PID_AURORA_B_PATHWAY%MSIGDB_C2%PID_AURORA_B_PATHWAY","0.866514360313316","1","-0.263329151929136","-0.722990835153229","5309","28","c(""Kif23"", ""Kif2c"", ""Cdca8"", ""Aurka"", ""Cbx5"", ""Stmn1"", ""Rhoa"")"
"74","PID_DELTA_NP63_PATHWAY%MSIGDB_C2%PID_DELTA_NP63_PATHWAY","0.346160090923851","0.854579291430225","-0.392985703579634","-1.08558794181539","2131","29","c(""Ada"", ""Rrad"", ""Bdkrb2"", ""LOC100911660"", ""Dlx5"", ""Tcf7l1"")"
"75","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY","0.145227560050569","0.609316322277792","-0.416474327289167","-1.25235927303974","918","46","c(""Angpt4"", ""Bmx"", ""Fes"", ""Plg"", ""Mmp2"", ""Itga5"", ""Grb14"", ""Nos3"", ""Pld2"", ""Cdkn1a"", ""Agtr1a"", ""Stat5b"", ""Angpt2"", ""Dok2"", ""Fyn"", ""Itgb1"", ""Pak1"", ""Ets1"")"
"76","SA_CASPASE_CASCADE%MSIGDB_C2%SA_CASPASE_CASCADE","0.0163314423242221","0.213410145677691","-0.677330006017486","-1.6180188441615","94","15","c(""Casp8"", ""Fas"", ""Birc3"", ""Faslg"")"
"77","PID_INSULIN_PATHWAY%MSIGDB_C2%PID_INSULIN_PATHWAY","0.400921658986175","0.902149746573525","-0.360646296542986","-1.04284785548334","2522","37","c(""Sh2b2"", ""Inpp5d"", ""Eif4ebp1"", ""F2rl2"", ""Dok1"", ""Grb14"")"
