ID,FC,p
AGPAT1,-0.043020351,0.24044436
RNF5,-0.046786535,0.514847045
AGER,-0.086097598,0.558475218
PBX2,0.023276844,0.684995756
GPSM3,-0.10926368,0.735232206
NOTCH4,-0.044517815,0.683875272
LOC103689965,-0.310294317,0.333259969
RT1-BA,-0.851581932,0.219374176
PSMB8,0.08842024,0.802875623
TAP1,0.214824663,0.414358735
PSMB9,-0.151077835,0.361390692
BRD2,0.292927869,0.017668495
COL11A2,-0.146206604,0.2626963
RXRB,0.037897987,0.521387903
SLC39A7,-0.014008908,0.567831873
HSD17B8,-0.02798935,0.713945817
RING1,-0.054413221,0.459295519
VPS52,0.05701566,0.563727846
B3GALT4,0.056016166,0.75610876
PFDN6,0.049699042,0.448648389
RGL2,0.047977492,0.526938242
ZBTB22,-0.043581672,0.561577937
DAXX,-0.052063189,0.257027233
AA926063,0.065545931,0.75256877
KIFC1,-0.041136624,0.929717957
PHF1,-0.087692442,0.342952507
CUTA,0.016290069,0.843247342
SYNGAP1,0.107534124,0.119826668
BAK1,-0.171506852,0.062470299
GGNBP1,0.714772218,0.219346691
GRM4,-0.088199186,0.59354263
HMGA1,-0.186116652,0.053277689
RPS10,-0.118332514,0.412042962
SNRPC,-0.01987335,0.80716857
UHRF1BP1,0.100674552,0.32488803
ANKS1A,-0.228821957,0.055509719
SCUBE3,-0.133526343,0.752800667
ZFP523,-0.070395417,0.417466102
DEF6,0.302156104,0.252337342
PPARD,-0.106269087,0.224733606
FANCE,-0.038197777,0.632763966
TEAD3,-0.077910637,0.445068609
SRPK1,0.080475212,0.247662123
SLC26A8,-0.013366372,0.912443422
MAPK14,-0.011701469,0.906008112
KCTD20,0.07140227,0.597170646
STK38,-0.07930406,0.118339616
SRSF3,-0.10456179,0.02238356
CDKN1A,-0.172777901,0.395739474
CPNE5,-0.064905996,0.488231952
PPIL1,0.044828056,0.602796815
RGD735065,-0.036509029,0.663220903
PI16,-0.180922755,0.224704705
MTCH1,-0.071632194,0.149529837
FGD2,-0.480488687,0.115630326
PIM1,-0.399756667,0.123499061
CCDC167,-0.00035491,0.99792476
CMTR1,0.036520337,0.461699522
MDGA1,-0.427042223,0.162755313
BTBD9,0.045441318,0.661702637
GLO1,-0.015046512,0.761579039
DNAH8,0.139902164,0.73371498
NT5DC1,0.135196279,0.261107097
TSPYL4,0.040916282,0.478135287
TSPYL1,-0.001250563,0.974302448
FAM241B,-0.17844277,0.133048686
COL13A1,-0.665533771,0.022666616
PPA1,-0.034146282,0.246806237
NPFFR1,0.152725595,0.65428339
LRRC20,0.024594098,0.73146018
PALD1,-0.182941773,0.143430396
ADAMTS14,8.64474E-05,0.999806004
TBATA,0.15290777,0.663764864
SGPL1,-0.005415751,0.883345717
PCBD1,0.044533872,0.740754998
UNC5B,-0.112575604,0.523772034
SLC29A3,-0.213476486,0.165563721
VSIR,-0.391466957,0.026147894
PSAP,0.005482317,0.870544688
CHST3,-0.387193429,0.194110773
AC096404.1,0.022348398,0.900057716
ANAPC16,-0.09369115,0.380521759
MARCKS,-0.21560393,0.116770712
CALHM4,0.193048597,0.603542077
CDC40,0.016742253,0.934210865
DDO,0.458135761,0.125614646
CDK19,-0.073458826,0.066524473
AMD1,-0.002543631,0.963986073
GTF3C6,0.157357184,0.058754237
RPF2,0.011196971,0.903929088
SLC16A10,0.168997794,0.59975224
RGD1310495,0.740701945,0.006667378
REV3L,0.106983058,0.074656395
TRAF3IP2,-0.058242138,0.745710711
FYN,-0.131283854,0.009862595
TUBE1,0.170407009,0.222136022
LAMA4,0.034635601,0.622032568
HDAC2,0.022872972,0.494352604
HS3ST5,-0.109011534,0.540039833
PCDH15,-0.089761734,0.658675223
IPMK,-0.146372435,0.11152534
CISD1,-0.061338212,0.462141151
UBE2D1,0.039911619,0.574874184
TFAM,0.076882545,0.280809022
BICC1,0.097227778,0.576408992
MDGA2,0.011256447,0.906243163
HINT1,-0.042225343,0.514554687
CDK1,-0.314063982,0.613832407
RHOBTB1,0.014024984,0.920823249
CABCOCO1,-0.06088132,0.682413136
ARID5B,0.18166367,0.108552173
RTKN2,-0.016869706,0.940937307
ZFP365,0.02033949,0.56202303
ADO,0.207646378,0.141328362
EGR2,-0.297586522,0.455858863
NRBF2,0.086170256,0.425098755
REEP3,-0.160500754,0.227196059
JMJD1C,0.130414314,0.086652408
PTPRC,-0.229999083,0.175511556
NEK7,-0.106026122,0.204632129
ACACB,0.194120507,0.195471342
HPS4,0.081799643,0.154404663
SRRD,-0.035600667,0.808815433
TFIP11,-0.010784026,0.886310448
TPST2,0.046653073,0.600005529
PITPNB,0.04380642,0.277349946
UNG,-0.247488962,0.21954972
SVOP,0.153511067,0.034651202
SSH1,0.074751688,0.545838123
CORO1C,-0.041360242,0.342124615
SELPLG,0.054798054,0.75750476
TMEM119,0.210161482,0.400848034
ISCU,0.076956056,0.491849182
SART3,-0.017675984,0.795206347
CMKLR1,-0.802047976,0.004128874
SGSM1,0.016313724,0.836048475
AABR07033045.1,0.02473053,0.851026835
POU1F1,-0.448858975,0.268986972
HTR1F,0.361987169,0.206618698
CGGBP1,-0.03405843,0.542936847
MGC95208,0.105195291,0.221960886
RT1-CE5,-0.130073157,0.58250857
CLIC2,-0.301480991,0.353728241
TMLHE,-0.01050675,0.957367339
AABR07044273.1,-0.067068084,0.648826163
RT1-M3-1,0.010128766,0.908470905
GABBR1,-0.099852209,0.097540153
MOG,-0.438346028,0.057691776
RT1-S3,0.005081629,0.975753585
ZNRD1AS1,-0.204700575,0.168954435
ZNRD1,-0.073877331,0.271276926
PPP1R11,-0.034162487,0.458030575
RNF39,0.038625443,0.731192682
TRIM39,0.057477764,0.476946795
RPP21,-0.03038309,0.828766172
RT1-N3,-0.144351451,0.631038553
RANBP2,0.138117352,0.117783121
GNL1,-0.064937342,0.069052762
ABCF1,-0.04539498,0.384762094
MAN1A1,0.404866584,0.206709143
MSL3L2,0.052876962,0.689868631
TBC1D32,0.186629092,0.228033051
MRPS18B,-0.215035735,0.018496935
GJA1,-0.163616273,0.13015182
HSF2,0.129718103,0.051501278
ATAT1,-0.061038443,0.318532573
PKIB,-0.125478706,0.567762755
RGD1302996,0.048170808,0.695213748
FABP7,-0.186791748,0.238882633
SMPDL3A,-0.202120191,0.227794616
PPP1R18,-0.03461537,0.842671968
NRM,-0.350578968,0.178225038
GCC2,0.1073174,0.148298212
DSE,0.162639322,0.428569238
CALHM5,0.485192172,0.343269715
FLOT1,0.07010638,0.401373872
IER3,-0.061310143,0.727198106
GTF2H4,0.084159696,0.337566694
VARS2,0.095755851,0.234954557
NFKBIL1,0.02345464,0.833157358
ATP6V1G2,0.073079429,0.416030138
DDX39B,-0.013560011,0.793432998
DDAH2,-0.204415328,0.277851926
LY6G6D,0.354581085,0.302529302
CSNK2B,-0.005083041,0.914621617
GPANK1,0.02173207,0.801540251
APOM,0.235922434,0.426215275
BAG6,0.052801369,0.186908811
PRRC2A,0.046056894,0.184421716
AIF1,-0.28654209,0.150409036
MSH5,-0.268304179,0.573101815
SAPCD1,-0.002207937,0.992371267
VWA7,-1.038226274,0.028177821
ZIC3,-0.07959458,0.68974814
RBMX,-0.04100194,0.527191146
VARS,-0.026858525,0.410006871
ARHGEF6,0.13210116,0.333288282
FHL1,0.043038196,0.243910001
SLC9A6,0.013378973,0.827158096
MMGT1,0.010443429,0.875302191
AUTS2,-0.001396429,0.995069578
CALN1,0.215319803,0.386072228
AABR07035098.1,-0.034493307,0.767863496
SBDS,-0.024374796,0.60511195
AABR07011057.1,0.186351173,0.678279355
ZFP958,0.211008403,0.003990269
TMEM248,0.016132535,0.791435403
FRY,0.076797796,0.269389846
RABGEF1,0.02590845,0.690314924
RXFP2,-0.105628067,0.750855586
TPST1,0.011591989,0.839898255
CRCP,-0.030132722,0.51041588
HSPH1,0.019856731,0.743504132
ASL,-0.189557826,0.114899893
TEX26,-0.071859466,0.880172325
MEDAG,-0.473675311,0.200216788
ALOX5AP,-0.330006971,0.199969224
USPL1,0.008012286,0.7956362
GUSB,-0.298744056,0.137564102
LOC100910196,0.746809436,0.181336732
NUPR2,-0.109053509,0.614397383
ZBED5,-0.022591759,0.76967129
PHKG1,-0.201269956,0.373729949
UBL3,0.079906969,0.110227608
SUMF2,-0.029775952,0.793950488
CCT6A,-0.003733995,0.940876455
SLC7A1,0.035599644,0.699713894
PSPH,-0.0998346,0.269054023
MRPS17,0.015582214,0.863526823
SFSWAP,0.008925235,0.87478841
STX2,0.083329635,0.196395594
SLC46A3,0.103698519,0.649422245
RAN,0.010760569,0.853005288
FLT1,-0.090517846,0.309153145
PAN3,-0.037542998,0.604741234
AC136867.1,-0.462600461,0.241216086
POLR1D,-0.028819044,0.643428273
LNX2,0.116557363,0.452825936
RASL11A,-0.242002214,0.370343821
RPL21,-0.117079473,0.125858574
AABR07055943.1,0.119570574,0.623784393
GLT1D1,0.165168295,0.152459289
SLC15A4,-0.136155957,0.303212967
TMEM132C,-0.135682754,0.423452407
AACS,-0.139492725,0.213821067
RNF6,0.108651233,0.084838872
ZFP358,-0.209405328,0.003225427
MCOLN1,0.111218841,0.201912103
PNPLA6,0.148094316,0.041992133
BRI3BP,0.137447756,0.323697789
SCARB1,-0.132717513,0.12571193
ZFP394,0.051917023,0.652451248
CPSF4,0.051499432,0.460217806
CAMSAP3,0.119028879,0.030221344
PTCD1,-0.075617733,0.362319021
XAB2,0.001527802,0.982085909
BUD31,0.094584201,0.287052927
PDAP1,-0.018844825,0.58755477
ARPC1B,-0.311481036,0.111615454
STXBP2,-0.205875951,0.45614153
ARPC1A,0.009982171,0.798375456
SMURF1,-0.034191324,0.67283256
TRAPPC5,-0.103795045,0.162405192
NCOR2,0.097600205,0.212068089
NPTX2,-0.078379421,0.712438998
BAIAP2L1,-0.190120656,0.530751737
BRI3,-0.017860496,0.888094816
TECPR1,0.113682749,0.153771136
RFLNA,0.208005457,0.396427416
TSC22D1,0.012536612,0.718218632
OCM2,-0.91219352,0.133288036
CCZ1B,0.061596312,0.202100499
NUFIP1,-0.016717335,0.827380271
EVI5L,-0.052517476,0.195757853
GTF2H3,0.138421515,0.224316397
RSPH10B,0.215588069,0.215539815
GPALPP1,-0.014386265,0.876872582
EIF2B1,-0.042769909,0.669392995
PMS2,0.059215755,0.440122827
DDX55,-0.202506868,0.073737246
AIMP2,0.105059218,0.106971042
MAP2K7,-0.004601692,0.936891104
ANKRD61,-0.143288504,0.440043056
TPT1,-0.111212447,0.035470774
EIF2AK1,-0.041342014,0.495566294
SLC25A30,0.133237822,0.141294231
TMED2,-0.083251599,0.017210864
RILPL1,-0.067446262,0.377554986
SNAPC2,-0.106948881,0.22846061
CTXN1,-0.018666857,0.752100449
TIMM44,-0.046612822,0.56442789
USP42,0.065917391,0.221090885
SNRNP35,-0.126884293,0.109835917
RILPL2,0.131724947,0.086316787
KMT5A,-0.18545606,0.022268699
SBNO1,0.087265389,0.194807033
CYTH3,0.044099542,0.243241453
RAC1,-0.013772014,0.627904565
ELAVL1,0.019140387,0.774694135
CDK2AP1,0.009564303,0.884570487
CERS4,0.082360101,0.28110712
RGD1563482,0.023458599,0.916292728
MPHOSPH9,0.119251383,0.262062998
DAGLB,-0.009955244,0.914547463
ARL6IP4,0.03294736,0.710674567
OGFOD2,-0.03372182,0.644529988
ABCB9,0.017499301,0.801648937
KDELR2,-0.102712318,0.10607492
VPS37B,0.029459823,0.734495327
RFC3,-0.172941191,0.214667448
STARD13,-0.23265988,0.253920019
HIP1R,-0.106891727,0.289532674
KL,-0.494470557,0.400184661
ZFP316,-0.017018988,0.844456238
PDS5B,0.065023505,0.357165608
RBAK,0.063583445,0.532992549
RNF216,0.015509362,0.765730944
AABR07035437.1,-0.194453718,0.292341673
FOXK1,0.137695784,0.095320358
DENR,-0.030758639,0.584971015
AABR07035428.1,0.0288477,0.819855503
N4BP2L2,0.077583302,0.191506191
BRCA2,-0.022075449,0.804980748
MMD2,-0.146168408,0.107942583
WIPI2,0.024866745,0.651295485
SLC29A4,0.139113195,0.442558686
FBXL18,0.155763836,0.16782229
MED13L,0.066390492,0.367584777
RGD1562310,-0.059422305,0.578212116
RNFT2,0.02781826,0.254021257
FBXW8,-0.019578318,0.774297576
TESC,0.168169006,0.36066216
FBXO21,0.046816998,0.514937451
NOS1,-0.414320158,0.246563953
RFC5,0.097649939,0.288396711
WSB2,-0.059599044,0.130418763
PEBP1,0.021994515,0.727941437
TAOK3,0.033996158,0.695249848
SUDS3,-0.050277611,0.202678265
SRRM4,0.176459406,0.273780128
PRKAB1,-0.107070284,0.279608964
CIT,0.202117722,0.226287174
RPLP0,-0.085309307,0.236602735
PXN,0.10126837,0.382088162
SIRT4,0.102779482,0.532599564
GLP1R,-0.62894383,0.188314672
MSI1,-0.050952083,0.483704892
UMODL1,-0.912131298,0.239651063
ABCG1,-0.058108704,0.325129235
NEWGENE_1586233,0.041907084,0.620782241
GATC,0.011439395,0.820014377
SRSF9,-0.010641418,0.93677512
UBASH3A,0.56002275,0.163120504
SLC37A1,0.067254055,0.591910624
COX6A1,-0.131278162,0.164517439
COQ5,-0.030209856,0.779508475
RNF10,-0.009391606,0.725824112
CABP1,0.02006429,0.86364089
PDE9A,0.009730686,0.917742521
ACADS,-0.239774158,0.126180819
SPPL3,0.039010601,0.215352164
WDR4,0.09654321,0.338348702
NDUFV3,0.002133948,0.973789283
PKNOX1,-0.307467993,0.076749171
RGD1311899,-0.021107428,0.65294077
OASL,0.118601193,0.845509641
SIK1,-0.119675315,0.433673528
GIT2,-0.014845352,0.723564989
TCHP,0.00827957,0.917179317
GLTP,-0.223899392,0.22989717
RRP1B,-0.116366987,0.407128115
TRPV4,-0.334883427,0.469617871
FAM222A,-0.006999656,0.971816105
POP5,0.172550932,0.321763255
CSTB,-0.08190482,0.357855885
RRP1,0.100236496,0.323345361
ANKRD13A,-0.191443133,0.070387225
AGPAT3,0.046218888,0.268373347
PWP2,0.052426725,0.395519913
GATD3A,0.005426009,0.93286616
PFKL,0.08999293,0.425395328
CFAP410,0.005250658,0.941964322
TRPM2,0.021783544,0.713331777
LRRC3,-0.621911643,0.150688251
UBE2G2,-0.071515112,0.405749199
PTTG1IP,-0.221887669,0.02623977
ITGB2,-0.374307958,0.100040685
FAM207A,-0.009871947,0.897730609
ADARB1,-0.0933574,0.074414904
POFUT2,-0.001946139,0.972243292
COL18A1,-0.186471241,0.389397737
SLC19A1,-0.013215912,0.921207569
GNA12,-0.261934206,0.079278102
BRAT1,-0.078089864,0.23238298
CABIN1,0.157692834,0.030775709
RSRC2,-0.017023168,0.728921827
DDT,-0.003201746,0.971837521
IQCE,0.069195792,0.456001262
GSTT3,-0.335356189,0.10867689
ZCCHC8,-0.008619618,0.931331621
PCBP3,0.028721896,0.689156101
CLIP1,0.072689453,0.108426161
COL6A1,-0.048708932,0.819995073
LFNG,-0.065617903,0.506881459
CHST12,0.091641157,0.224441021
EIF3B,-0.114811008,0.019812067
COL6A2,0.295718625,0.217466532
MLXIP,-0.02678369,0.735286599
ATXN2,0.015618782,0.720775888
SNX8,-0.262077443,0.121482255
CUX2,-0.143576905,0.459849939
NUDT1,-0.360931329,0.160929891
FTCD,0.110134179,0.692729152
MAD1L1,-0.113183477,0.184939051
PPP1CC,0.00948988,0.851773124
HVCN1,-0.08841922,0.8510869
CARD6,-0.098850955,0.693686832
MCM3AP,0.059835242,0.371328411
PSMG3,0.116938252,0.352079033
VPS29,0.030199433,0.700760658
PCNT,0.155420259,0.099146804
MAFK,-0.00928305,0.900525525
GPN3,-0.010295096,0.876138106
ANAPC7,0.006289085,0.904877876
ATP2A2,0.104533998,0.144952317
GPER1,0.045506907,0.823955575
GPR146,0.140758937,0.191785783
LOC498154,-0.046111444,0.600042098
GET4,-0.021669528,0.664764602
IFT81,-0.07807996,0.320139812
S100B,-0.182889758,0.076680412
P2RX7,-0.001145361,0.994538077
PRMT2,-0.010908197,0.91872329
SUN1,-0.053450729,0.420763687
P2RX4,0.220584441,0.225579995
ADORA2A,0.326639894,0.096092387
SPECC1L,0.027311439,0.515848059
BCR,0.035451499,0.702742208
CAMKK2,0.315064062,0.076761143
RAB36,0.003136465,0.965129427
PDGFA,-0.150490497,0.050156478
GNAZ,0.14218374,0.017318997
FAM20C,-0.018263542,0.631421759
RSPH14,0.797795739,0.080421961
ANAPC5,-0.000292835,0.994672173
ZFP68,-0.077254042,0.302085156
ZFP157,0.170672652,0.162411828
ASMT,-0.681888387,0.119261757
IL3RA,-0.114476143,0.396258872
GJC3,-0.077536577,0.680177717
RNF34,0.084502501,0.053312142
ZKSCAN1,0.110854256,0.250843652
ORAI1,0.106441466,0.652140231
SETD1B,0.271858715,0.022599546
HPD,-0.439317125,0.183460711
PSMD9,0.040257866,0.651100651
ZFP113,0.372062812,0.107410737
WDR66,0.272169993,0.043588945
ALDH2,-0.101783385,0.306564633
MAPKAPK5,-0.060668429,0.243542566
COPS6,-0.043394814,0.359798068
ADAM1A,-0.01647344,0.8793502
ERP29,0.017261457,0.780844793
MCM7,-0.030297451,0.737686234
NAA25,-0.034236069,0.731580218
TRAFD1,-0.041418161,0.578738323
HECTD4,0.132987736,0.139826525
AP4M1,0.154213245,0.127122354
TAF6,0.008440938,0.752166748
MBLAC1,-0.039535766,0.812747501
GPC2,-0.203104579,0.315104356
RPH3A,-0.037368066,0.753918892
OAS1A,-0.263842225,0.435241291
RASAL1,0.22813875,0.04908521
GAL3ST4,-0.333299066,0.125904521
METTL7A,-0.23875665,0.121301307
DDX54,0.006875441,0.916712665
IQCD,0.149706814,0.424602577
CYP3A62,0.135010804,0.548051832
SLC8B1,-0.266943922,0.103990024
PLBD2,-0.086851831,0.104673608
LOC100910540,-0.168097798,0.178553618
SDS,0.20135576,0.32650377
IRS3,0.130849161,0.712400693
SDSL,0.010263111,0.925051713
MOSPD3,-0.124925636,0.248030489
RBM19,0.090745346,0.254611844
LRCH4,-0.042595739,0.708264391
AGFG2,-0.003147091,0.975436329
TFR2,-0.140615821,0.591659621
ACTL6B,0.055873973,0.31689344
GNB2,-0.083795346,0.241443475
GIGYF1,0.127046963,0.062833429
SERPINE1,-0.073023425,0.873886623
AP1S1,0.04241203,0.549994897
VGF,-0.037026717,0.773376458
PLOD3,-0.126273352,0.174792358
ZNHIT1,0.0278139,0.758147793
CLDN15,-0.166998623,0.41223709
FIS1,-0.124064321,0.075236535
COL26A1,-0.142782178,0.713236012
CUX1,-0.430246759,0.034235383
SH2B2,-0.567451619,0.094460883
PRKRIP1,-0.052806057,0.275408923
ORAI2,0.206361609,0.062226094
ALKBH4,0.005774397,0.955617377
LRWD1,-0.015130988,0.822731797
POLR2J,-0.048658878,0.577123847
RASA4,-0.361851389,0.119880224
DTX2,0.108228871,0.230378789
SSC4D,-0.003120464,0.99254176
YWHAG,0.05809023,0.269261925
SRRM3,0.05250087,0.442264981
MDH2,0.017469997,0.73972453
TMEM120A,0.07489371,0.5267144
POR,-0.082738959,0.026281092
RHBDD2,-0.056205937,0.316611899
HIP1,-0.165007405,0.0777738
POM121,-0.02282461,0.636046138
NSUN5,0.147185899,0.06772999
FKBP6,0.080628463,0.790016567
FZD9,-0.152685682,0.248698888
BAZ1B,0.121106613,0.060779331
EIF4H,-0.055639214,0.087311665
KIF13A,-0.104802863,0.416051238
NUP153,0.025175415,0.676097622
RFC2,-0.135644104,0.060073404
IDS,-0.025156789,0.62853272
ELN,-0.079678228,0.634779785
LIMK1,-0.00484494,0.904051401
TMEM270,-0.142374283,0.464963368
CLDN4,-0.86938448,0.114750451
GTF2IRD1,-0.177382367,0.422726874
GTF2I,0.018831626,0.625561539
NCF1,-0.28448039,0.099021105
GTF2IRD2,-0.041801919,0.364176729
RCC1L,-0.0087661,0.899564522
CASTOR2,0.100157096,0.450310745
PSMB1,-0.006975885,0.895900886
TBP,-0.012378588,0.906503745
PDCD2,-0.129175748,0.082357622
SLC8A2,0.057000062,0.296239077
KPTN,-0.077150954,0.241485038
NAPA,0.041185025,0.551194467
MIA,0.220981131,0.287585794
RAB4B,-0.001387695,0.982787196
SNRPA,-0.023646875,0.791630388
TMEM35A,0.078298093,0.453490761
CDCA7,0.064481672,0.779717984
MAP3K20,0.078795585,0.657276408
RAPGEF4,-0.031259047,0.680284885
PDK1,0.118832337,0.041693544
ITGA6,-0.299374323,0.093053021
DLX2,-0.058202558,0.809790692
DLX1,-0.216832632,0.094962352
HAT1,-0.014116211,0.777219559
IGSF11,-0.139812316,0.274012128
CD80,0.284909816,0.558233514
GAP43,0.005309845,0.940965063
CHAC2,0.029918453,0.817043285
CYYR1,0.065521015,0.583412423
AGPS,0.075387425,0.60867839
NFE2L2,-0.131890073,0.248575163
ATP5PF,0.014538195,0.77801
RGD1563888,-0.22641309,0.38955471
BTG3,-0.133770057,0.239602759
CXADR,0.225901844,0.101360084
MTX2,0.002264008,0.966199926
USP25,-0.118899547,0.252445284
GRIK1,-0.360084733,0.146431824
BACH1,0.179812155,0.42956197
MAP3K7CL,-0.314494997,0.160823329
NRIP1,-0.173701519,0.137777543
CCT8,-0.007844557,0.811062068
LNPK,0.023887805,0.791226471
ATP5MC3,0.04697395,0.561218614
ATF2,0.122928903,0.087923852
USP16,0.052268763,0.42553917
RWDD2B,-0.083052684,0.37196816
LTN1,0.051117311,0.317766502
N6AMT1,0.107517842,0.232587746
ADAMTS1,0.181753473,0.368292549
NXPE3,0.202518524,0.081541783
CEP97,0.078721669,0.406906197
RPL24,-0.054556681,0.197241105
ZBTB11,0.139067711,0.066174547
SENP7,0.038808927,0.674982422
RIPK4,-1.015682108,0.135317348
PRDM15,0.165203753,0.01206723
C2CD2,0.079385363,0.354047349
IMPG2,0.495092366,0.299147348
ZBTB21,0.002057244,0.974383776
ABI3BP,-0.263842127,0.523824893
PCP4,-0.424567189,0.090241543
WRB,0.012104186,0.787631864
BRWD1,0.0142632,0.862770893
TFG,-0.063703869,0.490858841
TOMM70,0.215373699,0.325135218
TBC1D23,0.046626574,0.471771018
PSMG1,-0.162417387,0.031999496
TMEM30C,0.570219257,0.270464157
FILIP1L,-0.068271109,0.702731808
ETS2,0.112123836,0.114959395
ERG,-0.051939322,0.705953098
ST3GAL6,0.024545124,0.845204198
CPOX,-0.053297485,0.458242635
CLDND1,-0.041976889,0.555220199
KCNJ6,0.133715441,0.405587858
DYRK1A,0.038001426,0.588413144
GABRR3,0.402799793,0.419544388
RIOX2,0.076657528,0.533653419
VPS26C,-0.009849524,0.881458598
